20 mph,Evergreen Lane
45 mph,Batavia Avenue
20 mph,Woodland Park Circle
30,West Walnut Street
25 mph,Raleigh Court
20 mph,South Batavia Avenue
40 mph,South Batavia Avenue
20 mph,Kilkenny Court
25 mph,Autumn Lane
20 mph,Regent Drive
25 mph,Burgess Drive
45 mph,Bolcum Road
30 mph,Carlisle Road
20 mph,Joan Court
20 mph,Hennessy Court
30,Millview Drive
45 mph,Bilter Road
50 mph,Main Street
30 mph,Church Road
20 mph,Dillion Court
30 mph,Pine Street
30,Blaine Street
30,South Harrison Street
30 mph,South Harrison Street
30,South Harrison Street
65 mph,Ronald Reagan Memorial Tollway
20 mph,Breckenridge Court
20 mph,Sleeping Bear Trail
25 mph,Duncan Avenue
30 mph,Duncan Avenue
25 mph,Linden Avenue
30,Elm Street
25 mph,Forest Avenue
40 mph,North Batavia Avenue
20 mph,Glenbrook Court
30 mph,Northwest Parkway
30 mph,South Lincoln Street
20 mph,Timber Trails Boulevard
20 mph,Loveland Court
20 mph,Phoenix Road
20 mph,Glenbrook Circle
30 mph,Limestone Drive
20 mph,Durango Court
25 mph,Smoketree Plaza
25 mph,North Glen Circle
12 mph,Tall Oaks Court
50 mph,Orchard Road
20 mph,Boulder Court
30 mph,South Jackson Street
30,South Jackson Street
30 mph,South Jackson Street
50 mph,Healy Road
20 mph,Pauline Court
30 mph,Elgin Avenue
30 mph,Alft Lane
20 mph,Powder Horn Court
30,North Lincolnway Street
25 mph,Newport Court
20 mph,Vail Court
20 mph,Telluride Drive
25 mph,Washington Street
25 mph,Jaguar Court
20 mph,Timber Trails Court
20 mph,Mason Road
70 mph,Sleepy Hollow Road
30 mph,Galvin Drive
20 mph,Augusta Drive
15 mph,Shagbark Drive
15 mph,Shagbark Drive
20 mph,Timber Court
35 mph,East Main Street
25 mph,Timberlake Drive
25 mph,East Wilson Street
20 mph,Shining Moon Path
20 mph,Alpine Court
25 mph,Grand Boulevard
30 mph,North Edgelawn Drive
25 mph,West Wilson Street
30 mph,Morton Street
45 mph,North Kirk Road
45 mph,Big Timber Road
20 mph,Kathleen Street
65 mph,South Lake Street
30 mph,South Lake Street
20 mph,Towne Street
20 mph,Red Hawk Path
30 mph,North 2nd Street
25 mph,Canterbury Road
45 mph,North Randall Road
30 mph,North Randall Road
45 mph,North Randall Road
30,West Union Avenue
35 mph,West New Indian Trail
25 mph,Lancaster Road
45 mph,n/a
25 mph,Johnstown Road
20 mph,Arrowhead Drive
25 mph,North 4th Street
30 mph,South McKinley Street
30 mph,n/a
25 mph,Normantown Road
45 mph,West Boughton Road
30 mph,North Farrell Road
15 mph,Chinnuk Drive
50 mph,Lincoln Highway
35 mph,West Lauffer Road
25 mph,Royce Woods Court
35 mph,North Essington Road
35 mph,Bruce Road
40 mph,Parker Road
15 mph,West Sioux Drive
35 mph,Veterans Parkway
15 mph,University Parkway
35 mph,135th Street
40 mph,Illinois Route 59
30 mph,East 7th Street
60 mph,n/a
25 mph,White Eagle Drive
35 mph,n/a
55 mph,n/a
10 mph,David Drive
15 mph,Broken Arrow Drive
55 mph,n/a
15 mph,Pontiac Drive
45 mph,Romeo Road
25 mph,Dalhart Avenue
25 mph,Reflections Drive
25 mph,West Jefferson Avenue
25 mph,Somerset Lane
35 mph,Eola Road
35 mph,Eola Road
25 mph,Barrett Street
25 mph,East Bryn Mawr Avenue
35 mph,West Pierce Road
30 mph,South Westmore Meyers Road
35 mph,South Roselle Road
25 mph,West 9th Street
25 mph,West 9th Street
30 mph,Bradford Drive
40 mph,83rd Street
25 mph,Valley View Court
25 mph,Kelly Drive
25 mph,Elm Circle
25 mph,Linden Circle
25 mph,Ridgestone Drive
30 mph,Cromwell Drive
25 mph,Meadowview Lane
40 mph,Army Trail Road
25 mph,Baybrook Lane
35 mph,Bilter Road
15 mph,Prince George Lane
25 mph,County Line Road
25 mph,South Jackson Street
25 mph,Venard Road
25 mph,Glenford Drive
25 mph,North Elm Street
25 mph,North Elm Street
25 mph,99th Street
25 mph,99th Street
60 mph,West Army Trail Road
60 mph,West Army Trail Road
60 mph,West Army Trail Road
25 mph,North Park Avenue
25 mph,Ashbrook Court
25 mph,North Addison Avenue
25 mph,North Park Street
25 mph,Mapleside Lane
40,Janeswood Drive
25 mph,Elm Court
25 mph,Linden Court
60 mph,West Army Trail Road
25 mph,Shiloh Circle
25 mph,Yellow Daisy Court
40 mph,West 22nd Street
30 mph,Weber Road
35 mph,Woodward Avenue
40 mph,Woodward Avenue
40 mph,Lemont Road
50 mph,Lemont Road
25 mph,Middaugh Avenue
25 mph,Angela Lane
15 mph,Pontiac Lane
25 mph,Marlborough Lane
25 mph,Arboretum Road
25 mph,Lindenwood Lane
25 mph,Saratoga Avenue
25 mph,Saratoga Avenue
35 mph,East Roosevelt Road
25 mph,Vaughn Road
15 mph,Gloucester Way North
15 mph,Gloucester Way West
25 mph,Inverness Drive
25 mph,Pinecrest Court
25 mph,Country Club Boulevard
25 mph,South Adams Street
25 mph,South Bodin Street
25 mph,Forestview Circle
25 mph,Janet Street
25 mph,76th Street
15 mph,Paul Revere Lane
25 mph,North Forestview Lane
25 mph,Linden Court
30 mph,North Roselle Road
25 mph,Virginia Street
25 mph,Stonebridge Boulevard
30 mph,West Hillside Road
40 mph,South Bloomingdale Road
25 mph,Looking Glass Court
45 mph,Illinois Route 59
25 mph,Millbrook Drive
25 mph,Belleaire Lane
25 mph,Kendridge Court
25 mph,Woodview Court
25 mph,Asbury Drive
25 mph,South Quincy Street
25 mph,South Quincy Street
25 mph,Alder Lane
25 mph,Parkview Drive
50 mph,n/a
25 mph,Whitney Road
25 mph,Meadow Lane
15 mph,Old Tavern Road
30 mph,Royal Saint George Drive
25 mph,River Oak Drive
30 mph,West Bloomingdale Road
25 mph,Abington Woods Drive
25 mph,Inland Circle
25 mph,South Western Avenue
25 mph,Woodridge Drive
40,Woodridge Drive
40 mph,Warrenville Road
25 mph,Crestview Drive
45 mph,York Road
25 mph,Hill Road
25 mph,Brookshire Lane
25 mph,Lane Place
25 mph,Theodore Lane
25 mph,Stoughton Drive
25 mph,Williams Street
25 mph,Beaumont Court
25 mph,97th Street
25 mph,Middaugh Drive
